	Unnamed: 0	tad_file	sample	sample_simple	Group	PC1	PC2	PC3	PC4	PC5	PC6
0	0	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D11_15res_150wind.csv	GSE285274_Atrial_D11	Grant (Atrial, D11)	iPSC-derived cardiomyocyte	-215.06927430582888	150.94098419645903	6.716877830377326	69.83589783923165	187.06660597333925	19.572666899733253
1	1	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D45_15res_150wind.csv	GSE285274_Atrial_D45	Grant (Atrial, D45)	iPSC-derived cardiomyocyte	-35.52312132475758	229.89866101975312	-156.90468696608542	-41.45903607010104	-81.53117100358173	37.06901534207432
2	2	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D20_15res_150wind.csv	GSE285274_Atrial_D20	Grant (Atrial, D20)	iPSC-derived cardiomyocyte	-113.39604677459272	192.3020243864523	-80.6933430000524	-14.588940274336096	35.62940433199452	26.191154407490085
3	3	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D2_15res_150wind.csv	GSE285274_Atrial_D2	Grant (Atrial, D2)	iPSC-derived cardiac mesoderm	-178.02616524134507	-97.35209824178244	-101.26207220830284	36.053019520923804	2.886755143257065	32.62214066550359
4	4	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D0_15res_150wind.csv	GSE285274_Atrial_D0	Grant	iPSC	-208.24019635588468	-100.61299085256104	-100.0675502755613	51.43055414944661	61.57578024994609	31.451692687763927
5	5	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D6_15res_150wind.csv	GSE285274_Atrial_D6	Grant (Atrial, D6)	iPSC-derived cardiac precursor	-255.53765027486787	96.937612686265	6.930265652617937	80.11696136385515	235.0208596187333	38.03706537740733
6	6	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Atrial_D4_15res_150wind.csv	GSE285274_Atrial_D4	Grant (Atrial, D4)	iPSC-derived cardiac mesoderm	-217.22051988530623	-19.534175337591453	-48.75908675693011	59.65343102072121	114.97714927117678	29.18023365758492
7	7	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Ventricular_D6_15res_150wind.csv	GSE285274_Ventricular_D6	Grant (Ventricular, D6)	iPSC-derived cardiac precursor	-180.93107731166432	61.982901006209445	-82.96887150550728	36.93877018160136	82.03077159343711	42.29656856459008
8	8	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Ventricular_D11_15res_150wind.csv	GSE285274_Ventricular_D11	Grant (Ventricular, D11)	iPSC-derived cardiomyocyte	-135.61027158597864	94.4805025682435	-123.81043160655648	-43.22497888365473	23.850798988202463	45.37772057956957
9	9	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE285274_Ventricular_D23_15res_150wind.csv	GSE285274_Ventricular_D23	Grant (Ventricular, D23)	iPSC-derived cardiomyocyte	-115.34570584232604	185.64414831748496	-138.78395560548566	-43.25879490733521	3.2082586260231056	43.49393905940769
10	10	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE165303_heart_NF_1_15res_150wind.csv	GSE165303_heart_NF_1	Feng	Heart tissue	-47.95828952121028	297.8184551466239	-26.23646716707633	205.31268257432092	-153.35372916322984	-89.05921245904294
11	11	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_GSE165303_heart_NF_2_15res_150wind.csv	GSE165303_heart_NF_2	Feng	Heart tissue	-68.8807578566125	288.1523573092625	-3.139988075236442	220.16198949566896	-143.117835773283	-103.4920100983841
12	12	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_Choi2020_iPSC_5kb_15res_150wind.csv	Choi2020_iPSC	Choi	iPSC	-109.12581339676976	-159.40123806101852	-108.7937323375973	15.659012463460014	-119.8503581081834	-6.047611816742425
13	13	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_Keough_WTC11_NPC_5kb_hg_15res_150wind.csv	Keough_WTC11_NPC	Keough	NPC	-152.32164688928347	98.53052817046884	-38.52207165472476	-70.89427217381463	88.10173587971812	1.674457130400064
14	14	/tank/projects/diana_hic/cultures_vs_postmortem/8_add_new_tissues/tads_pcas/additional_tissues_tads_results/full_insulation_score_Keough_HS1_NPC_5kb_hg_15res_150wind.csv	Keough_HS1_NPC	Keough	NPC	-121.12988376517364	102.66298208884024	53.55886987978233	-12.389651803952402	-2.3987418175131605	-8.411797118510751
